Entity,Relation,Action,Value
metformin,drugworkedonbyagent,"ydrugworkedonbyagent,drug,humanagent",bristol_myers_squibb
microsoft_windows,productinstanceof,"yproductinstanceof,product,item",applications
walls,buildingfeaturemadefrombuildingmaterial,"nbuildingfeaturemadefrombuildingmaterial,buildingfeature,buildingmaterial",stained_glass
bread,bakedgoodservedwithbeverage,"ybakedgoodservedwithbeverage,bakedgood,beverage",yoghurt
linux,productinstanceof,"nproductinstanceof,product,item",applications
cocktail,beveragemadefrombeverage,"nbeveragemadefrombeverage,beverage,beverage",apricot_brandy
medications,drugpossiblytreatsphysiologicalcondition,"ydrugpossiblytreatsphysiologicalcondition,drug,physiologicalcondition",pain
cabinet,buildingfeaturemadefrombuildingmaterial,"ybuildingfeaturemadefrombuildingmaterial,buildingfeature,buildingmaterial",steel
windows,buildingfeaturemadefrombuildingmaterial,"ybuildingfeaturemadefrombuildingmaterial,buildingfeature,buildingmaterial",vinyl
beds,itemfoundinroom,"yitemfoundinroom,item,room",villa
cocktail,beveragemadefrombeverage,"nbeveragemadefrombeverage,beverage,beverage",cherry
cocktail,beveragemadefrombeverage,"nbeveragemadefrombeverage,beverage,beverage",ice_cubes
bookcase,furniturefoundinroom,"yfurniturefoundinroom,furniture,room",living_room
wines,beveragemadefrombeverage,"nbeveragemadefrombeverage,beverage,beverage",syrah
crops,agriculturalproductincludingagriculturalproduct,"nagriculturalproductincludingagriculturalproduct,agriculturalproduct,agriculturalproduct",pulse
red_wine_vinegar,beveragemadefrombeverage,"nbeveragemadefrombeverage,beverage,beverage",juice
strength,fooddecreasestheriskofdisease,"nfooddecreasestheriskofdisease,food,disease",cancer
knob,buildingfeaturemadefrombuildingmaterial,"nbuildingfeaturemadefrombuildingmaterial,buildingfeature,buildingmaterial",cabinet
beds,furniturefoundinroom,"nfurniturefoundinroom,furniture,room",baths
microzide,drughassideeffect,"ndrughassideeffect,drug,physiologicalcondition",side_effects
floor,buildingfeaturemadefrombuildingmaterial,"nbuildingfeaturemadefrombuildingmaterial,buildingfeature,buildingmaterial",vinyl
paxil,drugworkedonbyagent,"ydrugworkedonbyagent,drug,humanagent",glaxosmithkline
bread,bakedgoodservedwithbeverage,"ybakedgoodservedwithbeverage,bakedgood,beverage",red_wine
doors,buildingfeaturemadefrombuildingmaterial,"nbuildingfeaturemadefrombuildingmaterial,buildingfeature,buildingmaterial",cabinet
goodies,bakedgoodservedwithbeverage,"ybakedgoodservedwithbeverage,bakedgood,beverage",coffee
goodies,bakedgoodservedwithbeverage,"ybakedgoodservedwithbeverage,bakedgood,beverage",coffee
crops,agriculturalproductincludingagriculturalproduct,"nagriculturalproductincludingagriculturalproduct,agriculturalproduct,agriculturalproduct",christmas_trees
door,buildingfeaturemadefrombuildingmaterial,"ybuildingfeaturemadefrombuildingmaterial,buildingfeature,buildingmaterial",screen
beds,furniturefoundinroom,"yfurniturefoundinroom,furniture,room",studio_rooms
beds,furniturefoundinroom,"yfurniturefoundinroom,furniture,room",dorm_room
orange,beveragemadefrombeverage,"nbeveragemadefrombeverage,beverage,beverage",juice
cookies,bakedgoodservedwithbeverage,"ybakedgoodservedwithbeverage,bakedgood,beverage",white_chocolate
milk,agriculturalproductcookedwithagriculturalproduct,"nagriculturalproductcookedwithagriculturalproduct,agriculturalproduct,agriculturalproduct",pepper
milk,agriculturalproductcookedwithagriculturalproduct,"nagriculturalproductcookedwithagriculturalproduct,agriculturalproduct,agriculturalproduct",pepper
preserves,bakedgoodservedwithbeverage,"ybakedgoodservedwithbeverage,bakedgood,beverage",cream
breast_milk,beveragecontainsprotein,"yinverseofbeveragecontainsprotein,protein,protein",enzyme
tea,agriculturalproductcontainchemical,"yinverseofagriculturalproductcontainchemical,chemical,chemical",acids
tobacco,agriculturalproductgrowinginstateorprovince,"yinverseofagriculturalproductgrowinginstateorprovince,stateorprovince,stateorprovince",andhra_pradesh
milk,beveragecontainsprotein,"ybeveragecontainsprotein,beverage,protein",fatty_acid
dairy_products,agriculturalproductcomingfromvertebrate,"yagriculturalproductcomingfromvertebrate,agriculturalproduct,vertebrate",cattle
raspberries,bakedgoodservedwithbeverage,"ybakedgoodservedwithbeverage,bakedgood,beverage",cream
cookies,bakedgoodservedwithbeverage,"yinverseofbakedgoodservedwithbeverage,beverage,beverage",beverages
sesame_seeds,agriculturalproductcookedwithagriculturalproduct,"nagriculturalproductcookedwithagriculturalproduct,agriculturalproduct,agriculturalproduct",pepper
tea,agriculturalproductcontainchemical,"yagriculturalproductcontainchemical,agriculturalproduct,chemical",chemicals
onion,vegetableproductioninstateorprovince,"yvegetableproductioninstateorprovince,vegetable,stateorprovince",texas
world_war_ii,eventdate,"neventdate,event,dateliteral",december_1941
aorta,arterycalledartery,"narterycalledartery,artery,artery",arteries
posterior_cerebral,arterycalledartery,"narterycalledartery,artery,artery",arteries
vertebral,arterycalledartery,"narterycalledartery,artery,artery",arteries
carotid,arterycalledartery,"narterycalledartery,artery,artery",arteries
arteries,arterycalledartery,"narterycalledartery,artery,artery",carotid
gifts,clothingmadefromplant,"ninverseofclothingmadefromplant,plant,plant",flower
skirts,clothingmadefromplant,"yclothingmadefromplant,clothing,plant",palmtrees
shirts,clothingtogowithclothing,"yclothingtogowithclothing,clothing,clothing",jackets
socks,clothingmadefromplant,"nclothingmadefromplant,clothing,plant",bamboo
hoodie,clothingtogowithclothing,"yclothingtogowithclothing,clothing,clothing",shirt
pants,clothingtogowithclothing,"nclothingtogowithclothing,clothing,clothing",collar
sleeve,clothingtogowithclothing,"yclothingtogowithclothing,clothing,clothing",shirt
leather_jacket,clothingtogowithclothing,"yclothingtogowithclothing,clothing,clothing",jeans
tee,clothingtogowithclothing,"nclothingtogowithclothing,clothing,clothing",shirt
tee,clothingtogowithclothing,"nclothingtogowithclothing,clothing,clothing",shirt
products,clothingmadefromplant,"nclothingmadefromplant,clothing,plant",flower
shorts,clothingtogowithclothing,"yclothingtogowithclothing,clothing,clothing",cotton_shirts
hairdryer,itemfoundinroom,"yitemfoundinroom,bathroomitem,room",private_bathroom
hairdryer,itemfoundinroom,"yitemfoundinroom,bathroomitem,room",bathroom
sofa,itemfoundinroom,"nitemfoundinroom,item,room",area
spa_tub,itemfoundinroom,"yitemfoundinroom,item,room",bath
sleeper_sofa,furniturefoundinroom,"nfurniturefoundinroom,furniture,room",area
size_sofa_bed,furniturefoundinroom,"nfurniturefoundinroom,furniture,room",area
bed,furniturefoundinroom,"yroomcancontainfurniture,room,room",smoking_room
bed,furniturefoundinroom,"nfurniturefoundinroom,furniture,room",porch
bed,furniturefoundinroom,"nfurniturefoundinroom,furniture,room",front_room
accent_chair,furniturefoundinroom,"yfurniturefoundinroom,furniture,room",living_room
world_clock,haswikipediaurl,"yhaswikipediaurl,wallitem,http",//en.wikipedia.org/wiki/World%20clock
black_suit,clothingtogowithclothing,"yclothingtogowithclothing,clothing,clothing",shirt
black_suit,clothingtogowithclothing,"yclothingtogowithclothing,clothing,clothing",shirt
bed,furniturefoundinroom,"nfurniturefoundinroom,furniture,room",master
bed,furniturefoundinroom,"nfurniturefoundinroom,furniture,room",master
headboard,furniturefoundinroom,"yfurniturefoundinroom,furniture,room",bedroom
ottoman,furniturefoundinroom,"yfurniturefoundinroom,furniture,room",living_room
sectional_sofa,furniturefoundinroom,"yfurniturefoundinroom,furniture,room",living_room
bed,furniturefoundinroom,"yfurniturefoundinroom,furniture,room",property
rugby_shirts,clothingtogowithclothing,"nclothingtogowithclothing,clothing,clothing",shirts
shirts,clothingtogowithclothing,"nclothingtogowithclothing,clothing,clothing",rugby_shirts
apron,clothingtogowithclothing,"nclothingtogowithclothing,clothing,clothing",shirt
size,furniturefoundinroom,"nfurniturefoundinroom,furniture,room",guest_room
pants,clothingtogowithclothing,"yclothingtogowithclothing,clothing,clothing",polo_shirts
polo_shirts,clothingtogowithclothing,"yclothingtogowithclothing,clothing,clothing",pants
nesting_table,furniturefoundinroom,"nfurniturefoundinroom,furniture,room",living_room
sport_coat,clothingtogowithclothing,"yclothingtogowithclothing,clothing,clothing",pants
pulmonary_artery,arteryarisesfromartery,"narteryarisesfromartery,artery,artery",right_pulmonary_artery
jersey,clothingtogowithclothing,"yclothingtogowithclothing,clothing,clothing",pants
jersey,clothingtogowithclothing,"yclothingtogowithclothing,clothing,clothing",pants
top,clothingtogowithclothing,"yclothingtogowithclothing,clothing,clothing",long_skirt
top,clothingtogowithclothing,"nclothingtogowithclothing,clothing,clothing",long_skirt
jersey,clothingtogowithclothing,"nclothingtogowithclothing,clothing,clothing",shorts
jersey,clothingtogowithclothing,"yclothingtogowithclothing,clothing,clothing",shorts
shorts,clothingtogowithclothing,"yclothingtogowithclothing,clothing,clothing",shoes
shower,itemfoundinroom,"yitemfoundinroom,item,room",bathroom
shower,itemfoundinroom,"yitemfoundinroom,item,room",adjacent_bathroom
green_peas,agriculturalproductcookedwithagriculturalproduct,"nagriculturalproductcookedwithagriculturalproduct,agriculturalproduct,agriculturalproduct",spices
green_peas,agriculturalproductcookedwithagriculturalproduct,"nagriculturalproductcookedwithagriculturalproduct,agriculturalproduct,vegetable",onions
shower,itemfoundinroom,"yitemfoundinroom,item,room",one_bathroom
shower,itemfoundinroom,"yitemfoundinroom,item,room",one_bathroom
shower,itemfoundinroom,"yitemfoundinroom,item,room",bathrooms
shower,itemfoundinroom,"yitemfoundinroom,item,room",large_bathrooms
jersey,clothingtogowithclothing,"nclothingtogowithclothing,clothing,clothing",tights
enemy_engaged_2,haswikipediaurl,"yhaswikipediaurl,software,http",//en.wikipedia.org/wiki/Enemy%20Engaged%202
arteries,arterycalledartery,"narterycalledartery,artery,artery",subclavian
blood_sugar,foodcancausedisease,"yfoodcancausedisease,food,disease",diabetes
shower,itemfoundinroom,"yitemfoundinroom,item,room",luxury_bathroom
products,agriculturalproductincludingagriculturalproduct,"ninverseofagriculturalproductincludingagriculturalproduct,vegetable,vegetable",meal
plants,agriculturalproductincludingagriculturalproduct,"yagriculturalproductincludingagriculturalproduct,agriculturalproduct,agriculturalproduct",sorghum
seasonings,agriculturalproductcookedwithagriculturalproduct,"yagriculturalproductcookedwithagriculturalproduct,agriculturalproduct,agriculturalproduct",chicken
fresh_herbs,agriculturalproductincludingagriculturalproduct,"yagriculturalproductincludingagriculturalproduct,agriculturalproduct,agriculturalproduct",parsley
herbs,agriculturalproductincludingagriculturalproduct,"yagriculturalproductincludingagriculturalproduct,agriculturalproduct,agriculturalproduct",parsley
spices,agriculturalproductcookedwithagriculturalproduct,"ninverseofagriculturalproductcookedwithagricultureproduct,agriculturalproduct,agriculturalproduct",green_peas
substitutes,agriculturalproductincludingagriculturalproduct,"nagriculturalproductincludingagriculturalproduct,agriculturalproduct,agriculturalproduct",milk
whey,agriculturalproductcookedwithagriculturalproduct,"nagriculturalproductcookedwithagriculturalproduct,agriculturalproduct,agriculturalproduct",apples
cow,agriculturalproductcontainchemical,"nagriculturalproductcontainchemical,agriculturalproduct,chemical",calcium
seeds,agriculturalproductcontainchemical,"nagriculturalproductcontainchemical,agriculturalproduct,chemical",caffeine
allergies,agriculturalproductincludingagriculturalproduct,"nagriculturalproductincludingagriculturalproduct,agriculturalproduct,agriculturalproduct",milk
stock,agriculturalproductcomingfromvertebrate,"nagriculturalproductcomingfromvertebrate,agriculturalproduct,vertebrate",cows
natural,fooddecreasestheriskofdisease,"yfooddecreasestheriskofdisease,food,disease",cancer
allergies,agriculturalproductincludingagriculturalproduct,"nagriculturalproductincludingagriculturalproduct,agriculturalproduct,agriculturalproduct",wheat
whey,agriculturalproductcookedwithagriculturalproduct,"nagriculturalproductcookedwithagriculturalproduct,agriculturalproduct,agriculturalproduct",sour_cream
silk,agriculturalproductcamefromcountry,"yagriculturalproductcamefromcountry,agriculturalproduct,country",nepal
dress,clothingmadefromplant,"ninverseofclothingmadefromplant,plant,plant",flower
dresses,clothingmadefromplant,"ninverseofclothingmadefromplant,plant,plant",flower
sweaters,clothingtogowithclothing,"yclothingtogowithclothing,clothing,clothing",pants
shirt,clothingtogowithclothing,"yclothingtogowithclothing,clothing,clothing",linen_pants
shirt,clothingtogowithclothing,"nclothingtogowithclothing,clothing,clothing",tuxedo
robes,clothingmadefromplant,"nclothingmadefromplant,clothing,plant",bamboo
robes,clothingmadefromplant,"nclothingmadefromplant,clothing,plant",bamboo
shirt,clothingtogowithclothing,"yclothingtogowithclothing,clothing,clothing",bermuda_shorts
golf_shirts,clothingtogowithclothing,"yclothingtogowithclothing,clothing,clothing",shirts
tops,clothingtogowithclothing,"nclothingtogowithclothing,clothing,clothing",sleeve
clothes,clothingmadefromplant,"nclothingmadefromplant,clothing,plant",bamboo
shoes,clothingmadefromplant,"nclothingmadefromplant,clothing,plant",bamboo
long_sleeves,clothingtogowithclothing,"yclothingtogowithclothing,clothing,clothing",shirts
long_sleeves,clothingtogowithclothing,"nclothingtogowithclothing,clothing,clothing",shirts
t_shirts,clothingmadefromplant,"nclothingmadefromplant,clothing,plant",bamboo
dresses,clothingtogowithclothing,"yclothingtogowithclothing,clothing,clothing",tops
dresses,clothingtogowithclothing,"yclothingtogowithclothing,clothing,clothing",tops
sweat_shirts,clothingtogowithclothing,"yclothingtogowithclothing,clothing,clothing",shirts
bombs,weaponmadeincountry,"yweaponmadeincountry,weapon,country",u_s
devices,weaponmadeincountry,"nweaponmadeincountry,weapon,country",pakistan
technologies,weaponmadeincountry,"nweaponmadeincountry,weapon,country",iran
bombs,weaponmadeincountry,"yhaswife,person,female",pakistan
potato_soup,agriculturalproductcookedwithagriculturalproduct,"yagriculturalproductcookedwithagriculturalproduct,agriculturalproduct,agriculturalproduct",onions
medicines,agriculturalproductcomingfromvertebrate,"nagriculturalproductcomingfromvertebrate,agriculturalproduct,vertebrate",animals
red_shirt,clothingtogowithclothing,"yclothingtogowithclothing,clothing,clothing",shorts
shirt,clothingtogowithclothing,"nclothingtogowithclothing,clothing,clothing",pencil_skirt
nuclear_bombs,weaponmadeincountry,"yweaponmadeincountry,weapon,country",iran
weapons,weaponmadeincountry,"nweaponmadeincountry,weapon,country",dprk
products,agriculturalproductincludingagriculturalproduct,"yagriculturalproductincludingagriculturalproduct,agriculturalproduct,agriculturalproduct",oat
products,agriculturalproductincludingagriculturalproduct,"yagriculturalproductincludingagriculturalproduct,agriculturalproduct,agriculturalproduct",salt
products,agriculturalproductincludingagriculturalproduct,"yagriculturalproductincludingagriculturalproduct,agriculturalproduct,agriculturalproduct",barley
egg_masses,agriculturalproductcomingfromvertebrate,"nagriculturalproductcomingfromvertebrate,agriculturalproduct,vertebrate",females
brown_sugar,agriculturalproductcookedwithagriculturalproduct,"nagriculturalproductcookedwithagriculturalproduct,agriculturalproduct,agriculturalproduct",chicken
products,agriculturalproductincludingagriculturalproduct,"yagriculturalproductincludingagriculturalproduct,agriculturalproduct,agriculturalproduct",cocoa
products,agriculturalproductincludingagriculturalproduct,"yagriculturalproductincludingagriculturalproduct,agriculturalproduct,agriculturalproduct",citrus_fruits
products,agriculturalproductincludingagriculturalproduct,"ninverseofagriculturalproductincludingagriculturalproduct,food,food",margarine
products,agriculturalproductincludingagriculturalproduct,"yinverseofagriculturalproductincludingagriculturalproduct,food,food",margarine
bows,weaponmadeincountry,"yweaponmadeincountry,weapon,country",brazil
sweat_shirt,clothingtogowithclothing,"yclothingtogowithclothing,clothing,clothing",pants
shower,itemfoundinroom,"yitemfoundinroom,item,room",master_bath
workers,professionistypeofprofession,"nprofessionistypeofprofession,profession,profession",doctor
martin_luther_king_jr__,writerwasbornincity,"ywriterwasbornincity,person,city",memphis
colt_45,haswikipediaurl,"nhaswikipediaurl,weapon,http",//en.wikipedia.org/wiki/Colt%2045%20(malt%20liquor)
colt_45,haswikipediaurl,"-haswikipediaurl,weapon,url",//en.wikipedia.org/wiki/Colt%2045%20(malt%20liquor)
alfalfa,agriculturalproducttoattractinsect,"yagriculturalproducttoattractinsect,grain,insect",honey_bees
crops,agriculturalproductincludingagriculturalproduct,"yinverseofagriculturalproductincludingagriculturalproduct,grain,grain",alfalfa
breast_milk,beveragecontainsprotein,"yinverseofbeveragecontainsprotein,protein,protein",proteins
dairy_foods,beveragecontainsprotein,"yinverseofbeveragecontainsprotein,protein,protein",proteins
juice,beveragecontainsprotein,"ninverseofbeveragecontainsprotein,protein,protein",proteins
beer,beveragecontainsprotein,"ybeveragecontainsprotein,beverage,protein",proteins
charles,personhasjobposition,"npersonhasjobposition,person,jobposition",king
mark_hamill,actorstarredinmovie,"ymoviestaractor,movie,movie",star_wars
n2001_british_grand_prix,haswikipediaurl,"yhaswikipediaurl,grandprix,http",//en.wikipedia.org/wiki/2001%20British%20Grand%20Prix
orange,agriculturalproductgrowinginstateorprovince,"nagriculturalproductgrowinginstateorprovince,agriculturalproduct,stateorprovince",kansas
orange,agriculturalproductgrowinginstateorprovince,"nagriculturalproductgrowinginstateorprovince,agriculturalproduct,stateorprovince",nebraska
christopher_nolan,directordirectedmovie,"ydirectordirectedmovie,director,movie",the_prestige
sacha_baron_cohen,actorstarredinmovie,"yactorstarredinmovie,actor,movie",borat
steven_ballmer,ceoof,"yceoof,ceo,company",microsoft
film_stars,celebritysuchascelebrity,"ycelebritysuchascelebrity,celebrity,celebrity",angelina_jolie
coffee,agriculturalproductcontainchemical,"nagriculturalproductcontainchemical,agriculturalproduct,chemical",sweeteners
basemath,hashusband,"yhashusband,female,male",esau
basemath,haswikipediaurl,"yhaswikipediaurl,female,http",//en.wikipedia.org/wiki/Basemath
valtrex,drugpossiblytreatsphysiologicalcondition,"ydrugpossiblytreatsphysiologicalcondition,drug,physiologicalcondition",genital_herpes
tea_leaves,agriculturalproductcontainchemical,"yagriculturalproductcontainchemical,agriculturalproduct,chemical",amino_acid
corn,vegetableproductioninstateorprovince,"yvegetableproductioninstateorprovince,vegetable,stateorprovince",kansas
milk,agriculturalproductcomingfromvertebrate,"yagriculturalproductcomingfromvertebrate,agriculturalproduct,vertebrate",farms
heating,buildingfeaturemadefrombuildingmaterial,"nbuildingfeaturemadefrombuildingmaterial,buildingfeature,buildingmaterial",wood
heating,buildingfeaturemadefrombuildingmaterial,-1buildingfeature,wood
heating,buildingfeaturemadefrombuildingmaterial,"-buildingfeaturemadefrombuildingmaterial,,",wood
heating,buildingfeaturemadefrombuildingmaterial,"-buildingfeaturemadefrombuildingmaterial,buildingfeature,buildingmaterial",wood
hank_mckinnell,ceoof,"yceoof,ceo,company",pfizer
underwear,clothingmadefromplant,"ninverseofclothingmadefromplant,plant,plant",trees
picasso,visualartistartform,"nvisualartistartform,visualartist,visualartform",sculptures
franz_liszt,musicianplaysinstrument,"yinstrumentplayedbymusician,musicinstrument,musicinstrument",piano
adam,persondiedatage,"npersondiedatage,person,nonneginteger",930
gore,politicianusendorsedbypoliticianus,"ypoliticianusendorsedbypoliticianus,politicianus,politicianus",clinton
harry_reid,politicianusmemberofpoliticalgroup,"ypoliticianusmemberofpoliticalgroup,politicianus,politicsgroup",senate
joe_biden,politicianusendorsedbypoliticianus,"ypoliticianusendorsedbypoliticianus,politicianus,politicianus",clinton
tipper_gore,politicianusendorsedbypoliticianus,"npoliticianusendorsedbypoliticianus,politicianus,politicianus",clinton
george_w___bush,politicianusendorsedbypoliticianus,"npoliticianusendorsedbypoliticianus,politicianus,politicianus",clinton
bono,musicianplaysinstrument,"ymusicianplaysinstrument,musician,musicinstrument",guitar
bono,musicianinmusicartist,"ymusicianinmusicartist,musician,musicartist",u2
bono,musicianinmusicartist,"ymusicartistmusician,musicartist,musicartist",u2
kennedy,politicianholdsoffice,"ypoliticianholdsoffice,politician,politicaloffice",senator
w___bush,politicianusendorsedbypoliticianus,"ypoliticianusendorsedbypoliticianus,politicianus,politicianus",cheney
presidential_candidate_barack_obama,politicianusendorsedbypoliticianus,"ypoliticianusendorsedbypoliticianus,politicianus,politicianus",clinton
monica,personwasborninstateorprovince,"ypersonwasborninstateorprovince,person,stateorprovince",california
arnold_schwarzenegger,personhasresidenceingeopoliticallocation,"ypersonhasresidenceingeopoliticallocation,person,geopoliticallocation",california
antonin_scalia,politicianusmemberofpoliticalgroup,"ypoliticalgroupofpoliticianus,governmentorganization,governmentorganization",supreme_court
barak_obama,politicianholdsoffice,"ypoliticianholdsoffice,politician,politicaloffice",president
barak_obama,politicianholdsoffice,"ypoliticianholdsoffice,politician,politicaloffice",senator
barak_obama,politicianholdsoffice,"ypoliticianholdsoffice,politician,profession",senators
jimmy_page,musicianinmusicartist,"nmusicartistmusician,musicartist,musicartist",zep
steve,athleteplayssportsteamposition,"nathleteplayssportsteamposition,athlete,sportsteamposition",player
steve,athleteplayssportsteamposition,"nathleteplayssportsteamposition,coach,sportsteamposition",player
steve,athleteinjuredhisbodypart,"nathleteinjuredhisbodypart,coach,nerve",hand
steve,athleteinjuredhisbodypart,"nathleteinjuredhisbodypart,coach,bone",shoulder
steve,athleteinjuredhisbodypart,"nathleteinjuredhisbodypart,coach,bone",knee
norm_coleman,politicianrepresentslocation,"npoliticianrepresentslocation,politician,location",republican
norm_coleman,politicianrepresentslocation,"-politicianrepresentslocation,,",republican
norm_coleman,politicianrepresentslocation,"-politicianrepresentslocation,politicianus,organization",republican
egypt,countrylocatedingeopoliticallocation,"ycountrylocatedingeopoliticallocation,country,geopoliticallocation",countries
steven_spielberg,directordirectedmovie,"ndirectordirectedmovie,personafrica,movie",close_encounters
steven_spielberg,directordirectedmovie,"ndirectordirectedmovie,personafrica,movie",hook
steven_spielberg,directordirectedmovie,"ydirectordirectedmovie,personafrica,movie",jaws
steven_spielberg,directordirectedmovie,"ydirectordirectedmovie,personafrica,movie",jurassic_park
london,cityalsoknownas,"ncityalsoknownas,city,city",york
london,cityalsoknownas,"-cityalsoknownas,,",york
london,cityalsoknownas,"-cityalsoknownas,city,city",york
new_dehli,citylocatedincountry,"ycitylocatedincountry,city,country",india
martin_scorsese,directordirectedmovie,"ymoviedirectedbydirector,movie,movie",goodfellas
martin_scorscese,directordirectedmovie,"ymoviedirectedbydirector,movie,movie",goodfellas
joe_pesci,actorstarredinmovie,"ymoviestaractor,movie,movie",goodfellas
ray_liotta,actorstarredinmovie,"ymoviestaractor,movie,movie",goodfellas
quentin_tarantino,directordirectedmovie,"ymoviedirectedbydirector,movie,movie",pulp_fiction
john_travolta,actorstarredinmovie,"ymoviestaractor,movie,movie",pulp_fiction
egg,beveragemadefrombeverage,"nbeveragemadefrombeverage,beverage,beverage",peel
egg,beveragemadefrombeverage,-2beverage,peel
egg,beveragemadefrombeverage,"-beveragemadefrombeverage,,",peel
egg,beveragemadefrombeverage,"-beveragemadefrombeverage,agriculturalproduct,beverage",peel
sears_tower,buildinglocatedincity,"ybuildinglocatedincity,skyscraper,city",chicago
sears_tower,buildinglocatedincity,"ybuildinglocatedincity,building,city",chicago
sears_tower,buildinglocatedincity,"ybuildinglocatedincity,building,city",chicago
circus_maximus,attractionofcity,"yattractionofcity,attraction,city",rome
quality_suites,hotelincity,"yhotelincity,hotel,city",toronto
the_stranger,newspaperincity,"ynewspaperincity,newspaper,city",seattle
the_stranger,newspaperincity,"ynewspaperincity,newspaper,city",seattle
mount_whitney,mountaininstate,"ymountaininstate,mountain,stateorprovince",california
castro_peak,mountaininstate,"ymountaininstate,mountain,stateorprovince",california
vancouver_aquarium,aquariumincity,"yaquariumincity,aquarium,city",vancouver
westminster_abbey,placeofworshippracticesreligion,"yplaceofworshippracticesreligion,placeofworship,religion",catholicism
dallas_aquarium,aquariumincity,"yaquariumincity,aquarium,city",dallas
istanbul_airport,airportincity,"ycityhasairport,city,city",istanbul
metro_system,transportationincity,"ytransportationincity,transportation,city",montreal
the_vancouver_clinic,hospitalincity,"yhospitalincity,hospital,city",vancouver
the_vancouver_clinic,hospitalincity,"yhospitalincity,hospital,city",vancouver
omni_chicago_hotel,hotelincity,"yhotelincity,hotel,city",chicago
georgia_tech_hotel_and_conference_center,hotelincity,"yhotelincity,hotel,city",atlanta
zen_mountain_monastery,placeofworshippracticesreligion,"yplaceofworshippracticesreligion,placeofworship,religion",buddhism
zen_mountain_monastery,placeofworshippracticesreligion,"yplaceofworshippracticesreligion,placeofworship,religion",buddhism
calico_mountains,mountaininstate,"ymountaininstate,mountain,stateorprovince",california
colosseum,attractionofcity,"yattractionofcity,attraction,city",rome
colosseum,attractionofcity,"yattractionofcity,attraction,city",rome
toronto_s_historic_museums,museumincity,"ymuseumincity,museum,city",toronto
toronto_zoo,zooincity,"yzooincity,zoo,city",toronto
toronto_general,hospitalincity,"yhospitalincity,hospital,city",toronto
lake_tahoe,lakeinstate,"ylakeinstate,lake,stateorprovince",california
lake_tahoe,lakeinstate,"ylakeinstate,lake,stateorprovince",california
lake_tahoe,lakeinstate,"ylakeinstate,lake,stateorprovince",california
death_valley,mountaininstate,"ymountaininstate,mountain,stateorprovince",california
gulf_of_maine_research_institute,aquariumincity,"yaquariumincity,aquarium,city",portland
mauna_kea,mountaininstate,"ymountaininstate,mountain,stateorprovince",hawaii
vancouver_general_hospital,hospitalincity,"yhospitalincity,hospital,city",vancouver
the_hurva_synagogue,placeofworshippracticesreligion,"yplaceofworshippracticesreligion,placeofworship,religion",judaism
miami_international_airport,buildinglocatedincity,"ybuildinglocatedincity,building,city",miami
fedex_forum,stadiumlocatedincity,"ystadiumlocatedincity,stadiumoreventvenue,city",memphis
east_ham_baptist_church,placeofworshippracticesreligion,"yplaceofworshippracticesreligion,placeofworship,religion",baptist
seal,organizationacronymhasname,"yorganizationacronymhasname,organization,organization",sea
mumbai_airport,airportincity,"ycityhasairport,city,city",mumbai
muktinath,placeofworshippracticesreligion,"yplaceofworshippracticesreligion,placeofworship,religion",hinduism
banteay_srei,placeofworshippracticesreligion,"yplaceofworshippracticesreligion,placeofworship,religion",hinduism
lindstrom_peak,haswikipediaurl,"yhaswikipediaurl,everypromotedthing,url",//en.wikipedia.org/wiki/Lindstrom%20Peak
south_kensington,parkincity,"yparkincity,park,city",london
cairo_international_airport,airportincity,"ycityhasairport,city,city",cairo
presbyterian,hospitalincity,"nhospitalincity,hospital,city",charlotte
detroit_metropolitan_wayne_county,buildinglocatedincity,"nbuildinglocatedincity,building,city",detroit
capitol_peak,mountaininstate,"ymountaininstate,mountain,stateorprovince",colorado
tuntutuliak_airport,haswikipediaurl,"nhaswikipediaurl,everypromotedthing,url",//en.wikipedia.org/wiki/Tuntutuliak%20Airport
covent_garden,parkincity,"yparkincity,park,city",london
deep_creek_lake,lakeinstate,"ylakeinstate,lake,stateorprovince",maryland
evening_standard,newspaperincity,"ynewspaperincity,newspaper,city",london
courtyard_by_marriott_lax,hotelincity,"yhotelincity,hotel,city",los_angeles
sleepy_hollow_presbyterian_church,placeofworshippracticesreligion,"yplaceofworshippracticesreligion,placeofworship,religion",presbyterianism
boswell_bay_airport,haswikipediaurl,"yhaswikipediaurl,everypromotedthing,url",//en.wikipedia.org/wiki/Boswell%20Bay%20Airport
kilauea_volcano,mountaininstate,"ymountaininstate,mountain,stateorprovince",hawaii
toronto_star,newspaperincity,"ynewspaperincity,newspaper,city",toronto
the_great_mosque_of_taza,placeofworshippracticesreligion,"yplaceofworshippracticesreligion,placeofworship,religion",islam
the_great_mosque_of_taza,placeofworshippracticesreligion,"yreligionusesplaceofworship,religion,religion",islam
three_rivers_stadium,buildinglocatedincity,"ybuildinglocatedincity,building,city",pittsburgh
lester_b__pearson_international_airport,airportincity,"yairportincity,airport,city",toronto
leicester_square,parkincity,"nparkincity,park,city",london
bwi,airportincity,"yairportincity,airport,city",baltimore
everest,mountaininstate,"ymountaininstate,mountain,stateorprovince",nepal
mississippi,riveremptiesintoriver,"nriveremptiesintoriver,river,river",arkansas_river
adventure,sportusesequipment,"nsportusesequipment,sport,sportsequipment",equipment
